  -0.09337,  -0.29238,   0.25556,   0.13540,   0.12370,   0.05990,  -0.21300,  -0.59920,  -0.11216,  -0.35377,   0.22181,   0.23738
   0.24991,  -0.22709,  -0.25394,   0.17570,  -0.01155,   0.21783,   0.29713,  -0.20440,  -0.28342,  -0.46938,   0.01463,  -0.33600
   0.05222,   0.23304,  -0.07074,  -0.33741,  -0.27091,  -0.10696,   0.24817,   0.07392,   0.06050,  -0.02352,  -0.30467,  -0.15686
   0.19554,   0.19357,  -0.12583,  -0.14262,   0.11704,   0.09166,   0.05341,   0.26591,  -0.34575,   0.16911,  -0.39484,  -0.07372
  -0.36360,   0.08089,  -0.26868,   0.02116,   0.10777,  -0.26719,  -0.13368,  -0.15804,  -0.14739,   0.17879,  -0.19965,  -0.17575
  -0.01902,  -0.43171,   0.22409,  -0.02165,   0.03694,  -0.06278,  -0.17580,  -0.14079,  -0.33590,  -0.07669,  -0.01822,  -0.16516
  -0.12428,  -0.09306,  -0.45518,  -0.33251,   0.15695,   0.20625,   0.04402,  -0.21989,   0.28270,  -0.35375,  -0.06157,  -0.41665
  -0.42739,   0.15311,   0.02993,  -0.13722,   0.36680,  -0.35261,  -0.23932,  -0.21829,   0.06032,  -0.29063,   0.17579,   0.11839
  -0.28166,  -0.02984,  -0.27416,  -0.16798,   0.10456,   0.25200,   0.15620,  -0.11998,  -0.14286,  -0.34598,  -0.12640,  -0.34182
   0.17389,   0.19283,  -0.35058,  -0.01056,  -0.05752,  -0.19650,   0.20392,   0.27204,  -0.14316,   0.08163,   0.02459,   0.22868
   0.21914,  -0.38047,   0.20075,   0.26162,  -0.21452,   0.03685,   0.21599,  -0.32579,  -0.10433,   0.09203,   0.16366,  -0.12416
   0.18215,   0.06740,  -0.24054,  -0.32936,   0.15169,   0.21257,   0.27905,   0.08395,   0.22543,  -0.41180,  -0.16322,  -0.04960
  -0.08873,  -0.16352,  -0.22592,   0.13040,   0.02813,   0.23691,   0.21340,  -0.32095,  -0.21190,   0.16967,  -0.17873,  -0.38302
   0.10245,  -0.05472,   0.22064,   0.02815,  -0.02445,   0.04497,   0.01324,  -0.53368,  -0.38399,  -0.23735,  -0.14289,   0.03921
  -0.35135,   0.26632,  -0.11233,  -0.06718,   0.03310,  -0.10803,  -0.42504,   0.02103,  -0.35727,   0.04512,   0.21922,   0.06196
   0.05606,  -0.01807,  -0.03986,   0.03906,   0.12886,   0.15529,  -0.37104,  -0.13697,  -0.23415,   0.26669,  -0.11063,  -0.48149
  -0.32887,   0.28377,   0.16679,  -0.12233,   0.32808,  -0.05553,  -0.57314,  -0.14901,  -0.04334,  -0.42501,   0.32298,   0.03210
  -0.10809,  -0.38949,   0.27339,  -0.09205,   0.13878,   0.11402,   0.23844,  -0.49624,   0.23839,   0.24342,   0.14911,   0.07421
   0.16774,   0.18438,   0.08607,  -0.07404,  -0.13721,   0.12118,  -0.45103,   0.16974,   0.15623,   0.13107,   0.10209,   0.18934
   0.10970,  -0.05172,   0.05423,   0.07349,   0.18916,   0.12943,   0.19559,  -0.25771,  -0.36066,  -0.30300,  -0.26964,  -0.32085
  -0.16310,   0.36995,  -0.08682,  -0.05160,   0.13302,  -0.23192,  -0.24579,   0.21329,  -0.57870,  -0.30059,  -0.29150,  -0.24446
   0.20879,   0.07161,   0.14978,   0.12995,  -0.00992,  -0.31549,   0.07322,   0.28506,   0.19938,  -0.26741,  -0.14654,  -0.00521
   0.27721,  -0.05205,   0.17543,   0.20651,   0.14889,   0.12581,  -0.29684,  -0.42226,  -0.07921,  -0.11457,  -0.12010,  -0.20933
  -0.50028,   0.29577,  -0.30928,  -0.44812,   0.09154,  -0.02461,  -0.49970,   0.19415,  -0.21940,  -0.25803,  -0.40476,  -0.49026
   0.17645,  -0.29533,  -0.20236,  -0.25808,   0.10546,   0.01931,  -0.08513,   0.31481,  -0.08517,  -0.42477,  -0.15310,  -0.01455
   0.00863,  -0.09086,   0.14394,   0.18208,   0.04884,   0.23803,   0.02563,  -0.41972,   0.27846,  -0.44764,   0.07772,  -0.06264
  -0.06848,  -0.10705,  -0.32919,  -0.33800,   0.29481,   0.05685,   0.13881,  -0.06562,  -0.28615,   0.01235,  -0.39383,  -0.15516
   0.26782,   0.24123,   0.03366,  -0.08390,  -0.28015,   0.15618,   0.09714,  -0.41241,  -0.05760,   0.22473,  -0.13147,  -0.30446
  -0.17000,   0.28948,  -0.23207,  -0.28474,   0.10587,   0.29716,   0.19407,   0.25055,  -0.16250,  -0.06598,  -0.12802,  -0.12554
  -0.39130,  -0.12960,  -0.34221,  -0.40650,   0.33227,   0.14063,   0.02503,   0.17085,   0.15781,  -0.36395,  -0.29391,  -0.11584
   0.00168,  -0.07713,  -0.07782,  -0.19033,  -0.30257,  -0.26837,   0.24938,   0.26869,  -0.01368,  -0.01970,   0.05021,  -0.04243
   0.38061,  -0.13176,  -0.13892,   0.24888,  -0.15837,  -0.16764,  -0.07634,  -0.27236,   0.19501,  -0.31783,   0.16542,  -0.43095
  -0.00607,   0.18933,  -0.16272,  -0.17300,  -0.22383,  -0.14376,  -0.31816,  -0.10013,  -0.16994,   0.10366,   0.12595,   0.31783
  -0.16892,   0.27381,  -0.42859,  -0.05601,   0.12613,   0.15375,   0.04642,   0.22653,  -0.47278,  -0.42132,  -0.12298,  -0.11097
  -0.30851,  -0.33790,   0.20200,   0.16921,  -0.04587,   0.15470,  -0.32479,  -0.15332,  -0.50936,   0.20672,   0.31327,  -0.20490
  -0.12578,  -0.32869,  -0.37577,  -0.05708,  -0.04813,   0.01045,  -0.12327,   0.41808,   0.26836,  -0.43190,  -0.42645,  -0.01203
  -0.32706,   0.10606,  -0.21865,  -0.42211,   0.23634,  -0.01039,  -0.49265,   0.20106,  -0.15922,   0.05494,   0.14537,   0.06709
